id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
2501300840	Agawam Town city	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2500300975	Alford town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
2500901260	Amesbury Town city	MA07	MA	07	Merrimack Valley RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501501325	Amherst town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2500901465	Andover town	MA07	MA	07	Merrimack Valley RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500701585	Aquinnah town	MA12	MA	12	Martha's Vineyard Commission	0	#N/A			
2501701605	Arlington town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502701885	Ashburnham town	MA08	MA	08	Montachusetts RPC	MA05	"Worcester, MA-CT"			
2501701955	Ashby town	MA08	MA	08	Montachusetts RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501102095	Ashfield town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2501702130	Ashland town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502702480	Athol town	MA08	MA	08	Montachusetts RPC	MA05	"Worcester, MA-CT"			
2500502690	Attleboro city	MA11	MA	11	Southeastern Regional Planning and Economic Development District	RI75	"Providence-Warwick, RI-MA"			
2502702760	Auburn town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2502102935	Avon town	MA10	MA	10	Old Colony Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501703005	Ayer town	MA08	MA	08	Montachusetts RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500103690	Barnstable Town city	MA01	MA	01	Cape Cod Commission	MA01	"Barnstable Town, MA"			
2502703740	Barre town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2500304545	Becket town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
2501704615	Bedford town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501504825	Belchertown town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2502104930	Bellingham town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501705070	Belmont town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500505280	Berkley town	MA11	MA	11	Southeastern Regional Planning and Economic Development District	RI75	"Providence-Warwick, RI-MA"			
2502705490	Berlin town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2501105560	Bernardston town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2500905595	Beverly city	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501705805	Billerica town	MA06	MA	06	Northern Middlesex RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502706015	Blackstone town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2501306085	Blandford town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2502706365	Bolton town	MA09	MA	09	Metropolitan Area Planning Council	MA05	"Worcester, MA-CT"			
2502507000	Boston city	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500107175	Bourne town	MA01	MA	01	Cape Cod Commission	MA01	"Barnstable Town, MA"			
2501707350	Boxborough town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500907420	Boxford town	MA07	MA	07	Merrimack Valley RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502707525	Boylston town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2502107740	Braintree Town city	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500107980	Brewster town	MA01	MA	01	Cape Cod Commission	MA01	"Barnstable Town, MA"			
2502308085	Bridgewater town	MA10	MA	10	Old Colony Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501308470	Brimfield town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2502309000	Brockton city	MA10	MA	10	Old Colony Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502709105	Brookfield town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2502109175	Brookline town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501109595	Buckland town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2501709840	Burlington town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501711000	Cambridge city	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502111315	Canton town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501711525	Carlisle town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502311665	Carver town	MA11	MA	11	Southeastern Regional Planning and Economic Development District	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501112505	Charlemont town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2502712715	Charlton town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
2500112995	Chatham town	MA01	MA	01	Cape Cod Commission	MA01	"Barnstable Town, MA"			
2501713135	Chelmsford town	MA06	MA	06	Northern Middlesex RPC	MA09	"Boston-Cambridge-Newton, MA-NH"			
2502513205	Chelsea city	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500313345	Cheshire town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
2501313485	Chester town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2501513590	Chesterfield town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2501313660	Chicopee city	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2500713800	Chilmark town	MA12	MA	12	Martha's Vineyard Commission	0	#N/A			
2500314010	Clarksburg town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
2502714395	Clinton town	MA08	MA	08	Montachusetts RPC	MA05	"Worcester, MA-CT"			
2502114640	Cohasset town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501114885	Colrain town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2501715060	Concord town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501115200	Conway town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2501516040	Cummington town	MA04	MA	04	Pioneer Valley Planning Commission	MA04	"Springfield, MA"			
2500316180	Dalton town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
2500916250	Danvers town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500516425	Dartmouth town	MA11	MA	11	Southeastern Regional Planning and Economic Development District	RI75	"Providence-Warwick, RI-MA"			
2502116495	Dedham town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501116670	Deerfield town	MA03	MA	03	Franklin Regional Council of Governments	0	#N/A			
2500116775	Dennis town	MA01	MA	01	Cape Cod Commission	MA01	"Barnstable Town, MA"			
2500516950	Dighton town	MA11	MA	11	Southeastern Regional Planning and Economic Development District	RI75	"Providence-Warwick, RI-MA"			
2502717300	Douglas town	MA05	MA	05	Central Massachusetts RPC	MA05	"Worcester, MA-CT"			
